,Date,Volume,forward_kr,nasdak,sp
0,2004-01-02,202909,1194.800049,2006.680054,1108.47998
1,2004-01-05,137026,1195.800049,2047.359985,1122.219971
2,2004-01-06,116504,1178.900024,2057.370117,1123.670044
3,2004-01-07,194191,1189.400024,2077.679932,1126.329956
4,2004-01-08,139545,1176.800049,2100.25,1131.920044
5,2004-01-09,222165,1171.0,2086.919922,1121.859985
6,2004-01-12,480514,1181.300049,2111.780029,1127.22998
7,2004-01-13,326390,1168.800049,2096.439941,1121.219971
8,2004-01-14,178562,1175.300049,2111.129883,1130.52002
9,2004-01-15,196894,1175.199951,2109.080078,1132.050049
10,2004-01-16,269650,1174.5,2140.459961,1139.829956
11,2004-01-20,104011,1187.5,2147.97998,1138.77002
12,2004-01-26,101951,1176.699951,2153.830078,1155.369995
13,2004-01-27,177101,1174.5,2116.040039,1144.050049
14,2004-01-28,545636,1167.800049,2077.370117,1128.47998
15,2004-01-29,335334,1176.400024,2068.22998,1134.109985
16,2004-01-30,146465,1158.199951,2066.149902,1131.130005
17,2004-02-02,239113,1160.0,2063.149902,1135.26001
18,2004-02-03,172455,1158.400024,2066.209961,1136.030029
19,2004-02-04,115607,1170.300049,2014.140015,1126.52002
20,2004-02-05,78262,1168.900024,2019.560059,1128.589966
21,2004-02-06,782488,1157.699951,2064.01001,1142.76001
22,2004-02-09,1383013,1167.300049,2060.570068,1139.810059
23,2004-02-10,352933,1152.800049,2075.330078,1145.540039
24,2004-02-11,220621,1165.599976,2089.659912,1157.76001
25,2004-02-12,205310,1160.900024,2073.610107,1152.109985
26,2004-02-13,334915,1159.199951,2053.560059,1145.810059
27,2004-02-17,178208,1147.699951,2080.350098,1156.98999
28,2004-02-18,155659,1156.900024,2076.469971,1151.819946
29,2004-02-19,232820,1147.699951,2045.959961,1147.060059
30,2004-02-20,108531,1147.0,2037.930054,1144.109985
31,2004-02-23,133132,1157.5,2007.52002,1140.98999
32,2004-02-24,142479,1179.400024,2005.439941,1139.089966
33,2004-02-25,245966,1180.099976,2022.97998,1143.670044
34,2004-02-26,228754,1158.800049,2032.569946,1144.910034
35,2004-02-27,231454,1165.800049,2029.819946,1144.939941
36,2004-03-02,123989,1172.800049,2039.650024,1149.099976
37,2004-03-03,125532,1163.0,2033.359985,1151.030029
38,2004-03-04,234946,1156.599976,2055.110107,1154.869995
39,2004-03-05,155670,1160.0,2047.630005,1156.859985
40,2004-03-08,132077,1175.699951,2008.780029,1147.199951
41,2004-03-09,109135,1156.599976,1995.160034,1140.579956
42,2004-03-10,88606,1181.400024,1964.150024,1123.890015
43,2004-03-11,88441,1158.900024,1943.890015,1106.780029
44,2004-03-12,345276,1162.0,1984.72998,1120.569946
45,2004-03-15,613140,1177.0,1939.199951,1104.48999
46,2004-03-16,237889,1170.400024,1943.089966,1110.699951
47,2004-03-17,208024,1171.400024,1976.76001,1123.75
48,2004-03-18,309413,1174.5,1962.439941,1122.319946
49,2004-03-19,939409,1159.300049,1940.469971,1109.780029
50,2004-03-22,311355,1170.5,1909.900024,1095.400024
51,2004-03-23,354436,1163.099976,1901.800049,1093.949951
52,2004-03-24,249403,1163.300049,1909.47998,1091.329956
53,2004-03-25,303381,1182.800049,1967.170044,1109.189941
54,2004-03-26,191111,1183.5,1960.02002,1108.060059
55,2004-03-29,409629,1184.300049,1992.569946,1122.469971
56,2004-03-30,335735,1180.199951,2000.630005,1127.0
57,2004-03-31,234689,1178.699951,1994.219971,1126.209961
58,2004-04-01,237176,1166.300049,2015.01001,1132.170044
59,2004-04-02,227161,1161.5,2057.169922,1141.810059
60,2004-04-06,418040,1184.099976,2059.899902,1148.160034
61,2004-04-07,459431,1183.800049,2050.23999,1140.530029
62,2004-04-08,368888,1131.900024,2052.879883,1139.319946
63,2004-04-12,361361,1133.699951,2065.47998,1145.199951
64,2004-04-13,227394,1135.0,2030.079956,1129.439941
65,2004-04-14,322086,1142.199951,2024.849976,1128.170044
66,2004-04-16,326715,1158.300049,1995.73999,1134.609985
67,2004-04-19,208958,1161.0,2020.430054,1135.819946
68,2004-04-20,230314,1155.900024,1978.630005,1118.150024
69,2004-04-21,432186,1159.599976,1995.630005,1124.089966
70,2004-04-22,466376,1158.599976,2032.910034,1139.930054
71,2004-04-23,796975,1159.300049,2049.77002,1140.599976
72,2004-04-26,643157,1156.699951,2036.77002,1135.530029
73,2004-04-27,298300,1141.5,2032.530029,1138.109985
74,2004-04-28,371756,1152.5,1989.540039,1122.410034
75,2004-04-29,267353,1144.5,1958.780029,1113.890015
76,2004-04-30,272089,1169.599976,1920.150024,1107.300049
77,2004-05-03,339847,1162.699951,1938.719971,1117.48999
78,2004-05-04,187877,1160.099976,1950.47998,1119.550049
79,2004-05-06,212145,1172.400024,1937.73999,1113.98999
80,2004-05-07,264736,1165.800049,1917.959961,1098.699951
81,2004-05-10,254452,1159.800049,1896.069946,1087.119995
82,2004-05-11,267467,1178.5,1931.349976,1095.449951
83,2004-05-12,313448,1185.300049,1925.589966,1097.280029
84,2004-05-13,480250,1168.5,1926.030029,1096.439941
85,2004-05-14,268861,1186.699951,1904.25,1095.699951
86,2004-05-17,503055,1186.400024,1876.640015,1084.099976
87,2004-05-18,511098,1180.099976,1897.819946,1091.48999
88,2004-05-19,656798,1183.699951,1898.170044,1088.680054
89,2004-05-20,410711,1173.599976,1896.589966,1089.189941
90,2004-05-21,467228,1174.0,1912.089966,1093.560059
91,2004-05-24,275887,1172.699951,1922.97998,1095.410034
92,2004-05-25,249179,1179.400024,1964.650024,1113.050049
93,2004-05-27,200425,1179.900024,1984.5,1121.280029
94,2004-05-28,465019,1168.900024,1986.73999,1120.680054
95,2004-06-01,238003,1159.400024,1990.77002,1121.199951
96,2004-06-02,184754,1158.0,1988.97998,1124.98999
97,2004-06-03,183286,1165.800049,1960.26001,1116.640015
98,2004-06-04,381792,1163.800049,1978.619995,1122.5
99,2004-06-07,318495,1164.699951,2020.619995,1140.420044
100,2004-06-08,196120,1157.199951,2023.530029,1142.180054
101,2004-06-09,187987,1151.900024,1990.609985,1131.329956
102,2004-06-10,317610,1154.300049,1999.869995,1136.469971
103,2004-06-14,241760,1163.900024,1969.98999,1125.290039
104,2004-06-15,589076,1163.0,1995.599976,1132.01001
105,2004-06-16,289753,1162.5,1998.22998,1133.560059
106,2004-06-17,151566,1156.900024,1983.670044,1132.050049
107,2004-06-18,157401,1162.599976,1986.72998,1135.02002
108,2004-06-21,456116,1158.699951,1974.380005,1130.300049
109,2004-06-22,407335,1154.300049,1994.150024,1134.410034
110,2004-06-23,121400,1154.300049,2020.97998,1144.060059
111,2004-06-24,119815,1158.800049,2015.569946,1140.650024
112,2004-06-25,184224,1151.199951,2025.469971,1134.430054
113,2004-06-28,153508,1143.699951,2019.819946,1133.349976
114,2004-06-29,162834,1151.900024,2034.930054,1136.199951
115,2004-06-30,205752,1150.300049,2047.790039,1140.839966
116,2004-07-01,181230,1155.699951,2015.550049,1128.939941
117,2004-07-02,150304,1152.900024,2006.660034,1125.380005
118,2004-07-06,79190,1151.800049,1963.430054,1116.209961
119,2004-07-07,93168,1157.0,1966.079956,1118.329956
120,2004-07-08,145249,1150.5,1935.319946,1109.109985
121,2004-07-09,200027,1149.599976,1946.329956,1112.810059
122,2004-07-12,190374,1148.099976,1936.920044,1114.349976
123,2004-07-13,143635,1146.900024,1931.660034,1115.140015
124,2004-07-14,104342,1149.099976,1914.880005,1111.469971
125,2004-07-15,180847,1153.400024,1912.709961,1106.689941
126,2004-07-16,119732,1161.800049,1883.150024,1101.390015
127,2004-07-19,123778,1163.699951,1883.829956,1100.900024
128,2004-07-20,227692,1156.599976,1917.069946,1108.670044
129,2004-07-21,141248,1160.5,1874.369995,1093.880005
130,2004-07-22,230251,1160.5,1889.060059,1096.839966
131,2004-07-23,112633,1161.300049,1849.089966,1086.199951
132,2004-07-26,107069,1166.5,1839.02002,1084.069946
133,2004-07-27,175627,1161.199951,1869.099976,1094.829956
134,2004-07-28,181249,1161.099976,1858.26001,1095.420044
135,2004-07-29,113521,1168.800049,1881.060059,1100.430054
136,2004-07-30,275322,1168.0,1887.359985,1101.719971
137,2004-08-02,207699,1170.099976,1892.089966,1106.619995
138,2004-08-03,129015,1165.5,1859.420044,1099.689941
139,2004-08-04,148730,1164.800049,1855.060059,1098.630005
140,2004-08-05,150315,1163.800049,1821.630005,1080.699951
141,2004-08-06,184535,1163.699951,1776.890015,1063.969971
142,2004-08-09,246901,1152.0,1774.640015,1065.219971
143,2004-08-10,148481,1156.400024,1808.699951,1079.040039
144,2004-08-11,210037,1153.900024,1782.420044,1075.790039
145,2004-08-12,159720,1154.400024,1752.48999,1063.22998
146,2004-08-13,137277,1158.5,1757.219971,1064.800049
147,2004-08-16,184479,1154.800049,1782.839966,1079.339966
148,2004-08-17,219571,1158.5,1795.25,1081.709961
149,2004-08-18,204617,1157.900024,1831.369995,1095.170044
150,2004-08-19,117519,1156.900024,1819.890015,1091.22998
151,2004-08-20,163118,1155.099976,1838.02002,1098.349976
152,2004-08-23,83658,1151.800049,1838.699951,1095.680054
153,2004-08-24,75105,1152.599976,1836.890015,1096.189941
154,2004-08-25,78703,1153.300049,1860.719971,1104.959961
155,2004-08-26,185932,1155.199951,1852.920044,1105.089966
156,2004-08-27,144509,1153.699951,1862.089966,1107.77002
157,2004-08-30,88918,1151.300049,1836.48999,1099.150024
158,2004-08-31,81219,1152.699951,1838.099976,1104.23999
159,2004-09-01,143835,1150.599976,1850.410034,1105.910034
160,2004-09-02,475331,1147.800049,1873.430054,1118.310059
161,2004-09-03,198612,1148.699951,1844.47998,1113.630005
162,2004-09-07,116074,1153.5,1858.560059,1121.300049
163,2004-09-08,136338,1151.300049,1850.640015,1116.27002
164,2004-09-09,226709,1148.0,1869.650024,1118.380005
165,2004-09-10,149405,1140.300049,1894.310059,1123.920044
166,2004-09-13,282243,1145.599976,1910.380005,1125.819946
167,2004-09-14,203697,1144.300049,1915.400024,1128.329956
168,2004-09-15,323766,1144.900024,1896.52002,1120.369995
169,2004-09-16,279531,1144.800049,1904.079956,1123.5
170,2004-09-17,156507,1145.300049,1910.089966,1128.550049
171,2004-09-20,450022,1145.800049,1908.069946,1122.199951
172,2004-09-21,187595,1145.800049,1921.180054,1129.300049
173,2004-09-22,185228,1144.0,1885.709961,1113.560059
174,2004-09-23,228851,1147.599976,1886.430054,1108.359985
175,2004-09-24,263897,1147.699951,1879.47998,1110.109985
176,2004-09-30,270939,1144.900024,1896.839966,1114.579956
177,2004-10-01,221392,1150.800049,1942.199951,1131.5
178,2004-10-04,140443,1147.300049,1952.400024,1135.170044
179,2004-10-05,181786,1135.5,1955.5,1134.47998
180,2004-10-06,429064,1104.699951,1971.030029,1142.050049
181,2004-10-07,319752,1112.199951,1948.52002,1130.650024
182,2004-10-08,402762,1137.699951,1919.969971,1122.140015
183,2004-10-11,292209,1134.199951,1928.76001,1124.390015
184,2004-10-12,278364,1135.0,1925.170044,1121.839966
185,2004-10-13,199232,1132.099976,1920.530029,1113.650024
186,2004-10-14,258762,1125.5,1903.02002,1103.290039
187,2004-10-15,194031,1134.199951,1911.5,1108.199951
188,2004-10-18,124823,1134.099976,1936.52002,1114.02002
189,2004-10-19,175052,1131.800049,1922.900024,1103.22998
190,2004-10-20,229843,1131.0,1932.969971,1103.660034
191,2004-10-21,315093,1134.599976,1953.619995,1106.48999
192,2004-10-22,401727,1128.099976,1915.140015,1095.73999
193,2004-10-25,393131,1122.800049,1914.040039,1094.800049
194,2004-10-26,185263,1118.599976,1928.790039,1111.089966
195,2004-10-27,73681,1122.800049,1969.98999,1125.400024
196,2004-10-28,234150,1120.400024,1975.73999,1127.439941
197,2004-10-29,132987,,1974.98999,1130.199951
198,2004-11-01,64252,1106.300049,1979.869995,1130.51001
199,2004-11-02,78510,1107.699951,1984.790039,1130.560059
200,2004-11-03,153166,1074.5,2004.329956,1143.199951
201,2004-11-04,80415,1100.5,2023.630005,1161.670044
202,2004-11-05,100365,1072.800049,2038.939941,1166.170044
203,2004-11-08,174911,1091.900024,2039.25,1164.890015
204,2004-11-09,194925,1098.400024,2043.329956,1164.079956
205,2004-11-10,169453,1094.900024,2034.560059,1162.910034
206,2004-11-11,312289,1098.199951,2061.27002,1173.47998
207,2004-11-12,176193,1098.800049,2085.340088,1184.170044
